,completed
123302,0.0
43300,0.0
60889,0.0
140241,0.0
98401,0.0
15390,0.0
127849,0.0
60197,0.0
56545,0.0
37513,0.0
35134,0.0
18630,0.0
113446,0.0
106060,1.0
46432,0.0
41999,0.0
144876,0.0
6249,1.0
71384,0.0
142162,1.0
99289,1.0
134415,0.0
109307,0.0
121253,1.0
40766,0.0
138680,0.0
57582,0.0
76451,0.0
41948,0.0
80363,1.0
65762,0.0
73645,0.0
2752,0.0
62979,0.0
82424,0.0
92807,0.0
22816,1.0
97978,0.0
137109,0.0
5542,0.0
138525,0.0
133045,0.0
106771,0.0
44093,0.0
14843,0.0
102847,0.0
119822,0.0
142906,0.0
36243,0.0
110409,1.0
73217,0.0
106844,0.0
41354,0.0
146157,0.0
49490,0.0
122193,1.0
67962,0.0
50761,0.0
62645,1.0
7771,1.0
101453,0.0
76371,1.0
43125,0.0
44704,1.0
56247,0.0
120333,0.0
55632,0.0
24913,1.0
43808,0.0
117648,0.0
70387,1.0
90217,0.0
20708,1.0
37675,0.0
74632,1.0
77707,0.0
22176,0.0
127837,1.0
88760,0.0
143358,0.0
50661,0.0
51507,0.0
83697,0.0
58322,1.0
57116,0.0
28141,1.0
137159,1.0
120637,1.0
91821,0.0
118869,0.0
107201,0.0
108554,0.0
140354,1.0
120766,0.0
67602,0.0
100117,0.0
77200,0.0
20429,0.0
143164,0.0
11463,0.0
88105,0.0
48067,0.0
17198,0.0
10776,1.0
35164,0.0
21594,0.0
115576,1.0
52170,0.0
102128,0.0
107478,0.0
30420,0.0
118695,0.0
111591,1.0
108701,0.0
91145,0.0
148178,0.0
17964,1.0
97011,0.0
18653,0.0
120370,1.0
94352,1.0
70192,0.0
16772,0.0
64314,0.0
131220,0.0
100506,0.0
77582,1.0
95248,0.0
66700,0.0
52662,1.0
77394,0.0
94909,1.0
63585,1.0
80656,1.0
34161,1.0
6104,0.0
831,1.0
130585,0.0
147558,0.0
101557,0.0
116282,0.0
16456,0.0
59771,0.0
36840,1.0
145171,0.0
110628,0.0
86736,0.0
48460,0.0
31448,0.0
1061,0.0
5713,1.0
94207,0.0
25816,0.0
144066,0.0
85772,0.0
110955,0.0
109820,1.0
108988,0.0
139267,0.0
86153,0.0
80348,1.0
59819,1.0
11017,0.0
102171,0.0
94183,1.0
52317,0.0
135267,0.0
113519,1.0
42738,0.0
38947,0.0
50716,0.0
130590,0.0
108367,0.0
21476,0.0
126111,0.0
80687,0.0
139407,0.0
147505,0.0
35863,0.0
60653,0.0
93131,1.0
76048,1.0
137439,0.0
128880,1.0
127077,0.0
114902,0.0
97186,0.0
144742,1.0
64697,0.0
136688,0.0
141485,0.0
31140,1.0
15072,0.0
14724,1.0
99896,0.0
134252,0.0
130512,1.0
80504,1.0
54078,0.0
46906,0.0
34254,0.0
29047,0.0
52343,0.0
86795,0.0
27184,0.0
86426,0.0
92584,1.0
124625,0.0
53719,0.0
19386,0.0
42909,0.0
35543,0.0
58000,0.0
76313,0.0
78060,0.0
77874,0.0
31185,0.0
134606,1.0
124250,0.0
119355,0.0
13083,0.0
81348,1.0
107641,0.0
49857,0.0
143959,0.0
108097,0.0
99697,0.0
82481,0.0
105324,0.0
37268,0.0
26650,0.0
87895,0.0
18454,0.0
68006,0.0
77670,0.0
109237,0.0
28361,0.0
148544,0.0
23597,0.0
135419,0.0
68175,0.0
12436,0.0
52600,1.0
127879,0.0
93887,1.0
41880,0.0
36625,0.0
